"Buffer","Model","AUC_mean","AUC_sd","Threshold_mean","Threshold_sd","Sensitivity_mean","Sensitivity_sd","Specificity_mean","Specificity_sd","Accuracy_mean","Accuracy_sd","Kappa_mean","Kappa_sd","TSS_mean","TSS_sd","N","Presences","Absences"
"10km","GLM",0.668,0.013,0.286,0.064,0.505,0.095,0.775,0.095,0.713,0.052,0.261,0.037,0.28,0.015,1484,343,1141
"10km","Random forest",0.794,0.024,0.24,0.04,0.674,0.098,0.774,0.076,0.751,0.036,0.392,0.027,0.448,0.027,1484,343,1141
"15km","GLM",0.667,0.013,0.319,0.07,0.469,0.09,0.809,0.088,0.731,0.048,0.271,0.035,0.278,0.012,1472,337,1135
"15km","Random forest",0.786,0.026,0.225,0.048,0.694,0.107,0.742,0.087,0.731,0.045,0.366,0.039,0.436,0.039,1472,337,1135
"20km","GLM",0.675,0.014,0.281,0.075,0.511,0.108,0.772,0.113,0.712,0.063,0.263,0.043,0.282,0.012,1462,335,1127
"20km","Random forest",0.779,0.026,0.239,0.063,0.671,0.125,0.748,0.106,0.73,0.054,0.359,0.045,0.419,0.034,1462,335,1127
"25km","GLM",0.671,0.014,0.34,0.069,0.445,0.074,0.832,0.08,0.743,0.045,0.281,0.038,0.278,0.015,1455,335,1120
"25km","Random forest",0.792,0.029,0.218,0.06,0.719,0.113,0.721,0.096,0.72,0.05,0.362,0.046,0.44,0.039,1455,335,1120
"2km","GLM",0.668,0.014,0.318,0.081,0.469,0.116,0.803,0.111,0.726,0.059,0.266,0.037,0.272,0.016,1493,347,1146
"2km","Random forest",0.785,0.026,0.209,0.038,0.727,0.096,0.706,0.079,0.711,0.041,0.35,0.039,0.433,0.042,1493,347,1146
"5km","GLM",0.658,0.014,0.28,0.078,0.504,0.121,0.752,0.116,0.695,0.061,0.236,0.034,0.257,0.017,1490,347,1143
"5km","Random forest",0.79,0.024,0.223,0.055,0.71,0.113,0.729,0.093,0.724,0.046,0.366,0.038,0.439,0.033,1490,347,1143
